ObjectProperty,label,parent,parentLabel,definition,comment,IAODefinition,domain,domainLabel,domainDef,domainComment,domainIAODefinition,range,rangeLabel,rangeDef,rangeComment,rangeIAODefinition
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/RO_0001000,derives from,,,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",This relation is taken from the RO2005 version of RO. It may be obsoleted and replaced by relations with different definitions. See also the 'develops from' family of relations.,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/RO_0001001,derives into,,,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001015,location of,,,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001025,located in,,,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/RO_0001018,contained in,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
